FisheryName,Species,Role,L50,Slope,Quota,StartDay,EndDay,XMin,XMax,YMin,YMax,ZMin,ZMax,SlotMin,SlotMax,BagLimit,NVessel
Recreational,King,target,700,0.2,3081,0,365,0,1000,0,1000,0,20,609.6,10000,6,100
WestHL,King,target,700,0.25,580,0,365,-99,-87,26,31,0,20,609.6,10000,6,100
NorthHL,King,target,700,0.1,261,0,365,-87,-82,26,31,0,20,609.6,10000,6,100
SouthHL,King,target,700,0.4,304,0,365,-86,-81,24,26,0,20,609.6,10000,6,100
SouthGillnet,King,target,700,0.4,304,21,365,20,70,30,80,0,20,609.6,10000,6,100

